metabolite	flux
fru[e]	-0.14899
glc_D[e]	-0.14899
gal[e]	-0.14899
man[e]	-0.14899
mnl[e]	-0.14899
fuc_L[e]	-0.14899
glcn[e]	-0.14899
rmn[e]	-0.14899
arab_L[e]	-0.17878
drib[e]	-0.17878
rib_D[e]	-0.17878
xyl_D[e]	-0.17878
oxa[e]	-0.44696
lcts[e]	-0.074493
malt[e]	-0.074493
sucr[e]	-0.074493
melib[e]	-0.074493
cellb[e]	-0.074493
tre[e]	-0.074493
strch1[e]	-0.25734
amylopect900[e]	-0.0000157
amylose300[e]	-0.000047
arabinan101[e]	-0.00016628
arabinogal[e]	-0.0000219
arabinoxyl[e]	-0.00030665
bglc[e]	-7.05E-08
cellul[e]	-0.0000282
dextran40[e]	-0.00017632
galmannan[e]	-0.0000141
glcmannan[e]	-0.0000329
homogal[e]	-0.00012823
inulin[e]	-0.00047019
kestopt[e]	-0.0028212
levan1000[e]	-0.0000141
lmn30[e]	-0.00047019
lichn[e]	-0.000083
pect[e]	-0.0000334
pullulan1200[e]	-0.0000118
raffin[e]	-0.0047019
rhamnogalurI[e]	-0.0000145
rhamnogalurII[e]	-0.00026699
starch1200[e]	-0.0000118
xylan[e]	-0.0000321
xyluglc[e]	-0.0000131
arachd[e]	-0.003328
chsterol[e]	-0.004958
glyc[e]	-1.7997
hdca[e]	-0.39637
hdcea[e]	-0.036517
lnlc[e]	-0.35911
lnlnca[e]	-0.017565
lnlncg[e]	-0.017565
ocdca[e]	-0.16928
ocdcea[e]	-0.68144
octa[e]	-0.012943
ttdca[e]	-0.068676
ala_L[e]	-1
cys_L[e]	-1
ser_L[e]	-1
arg_L[e]	-0.15
his_L[e]	-0.15
ile_L[e]	-0.15
leu_L[e]	-0.15
lys_L[e]	-0.15
asn_L[e]	-0.225
asp_L[e]	-0.225
thr_L[e]	-0.225
glu_L[e]	-0.18
met_L[e]	-0.18
gln_L[e]	-0.18
pro_L[e]	-0.18
val_L[e]	-0.18
phe_L[e]	-1
tyr_L[e]	-1
gly[e]	-0.45
trp_L[e]	-0.08182
12dgr180[e]	-1
26dap_M[e]	-1
2dmmq8[e]	-1
2obut[e]	-1
3mop[e]	-1
4abz[e]	-1
4hbz[e]	-1
ac[e]	-1
acald[e]	-1
acgam[e]	-1
acmana[e]	-1
acnam[e]	-1
ade[e]	-1
adn[e]	-1
adocbl[e]	-1
akg[e]	-1
ala_D[e]	-1
amet[e]	-1
amp[e]	-1
arab_D[e]	-1
btn[e]	-1
ca2[e]	-1
cbl1[e]	-1
cgly[e]	-1
chol[e]	-1
chor[e]	-1
cit[e]	-1
cl[e]	-1
cobalt2[e]	-1
csn[e]	-1
cu2[e]	-1
cytd[e]	-1
dad_2[e]	-1
dcyt[e]	-1
ddca[e]	-1
dgsn[e]	-1
etoh[e]	-1
fald[e]	-1
fe2[e]	-1
fe3[e]	-1
fe3dcit[e]	-1
fol[e]	-1
for[e]	-1
fum[e]	-1
gam[e]	-1
glu_D[e]	-1
glyc3p[e]	-1
gsn[e]	-1
gthox[e]	-1
gthrd[e]	-1
gua[e]	-1
h[e]	-1
h2[e]	-1
h2s[e]	-1
hom_L[e]	-1
hxan[e]	-1
indole[e]	-1
ins[e]	-1
k[e]	-1
lac_L[e]	-1
lanost[e]	-1
mal_L[e]	-1
metsox_S_L[e]	-1
mg2[e]	-1
mn2[e]	-1
mobd[e]	-1
mqn7[e]	-1
mqn8[e]	-1
nac[e]	-1
ncam[e]	-1
nmn[e]	-1
no2[e]	-1
no3[e]	-1
orn[e]	-1
orot[e]	-1
pheme[e]	-1
pi[e]	-1
pime[e]	-1
pnto_R[e]	-1
ptrc[e]	-1
pydam[e]	-1
pydx[e]	-1
pydx5p[e]	-1
pydxn[e]	-1
q8[e]	-1
ribflv[e]	-1
sel[e]	-1
sheme[e]	-1
so4[e]	-1
spmd[e]	-1
succ[e]	-1
thm[e]	-1
thymd[e]	-1
ura[e]	-1
urea[e]	-1
uri[e]	-1
duri[e]	-1
xan[e]	-1
zn2[e]	-1
na1[e]	-10
meoh[e]	-10
h2o[e]	-10
